catalogNumber,Species,Genus,Subfamily,Family,Sex,Collection,Notes,Locality,Collection Date
UCSB_IZC00035979_R,Peponapis pruinosa,Peponapis,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00037067_R,Peponapis pruinosa,Peponapis,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00040884_R,Peponapis pruinosa,Peponapis,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00035381_R,Peponapis pruinosa,Peponapis,Apinae,Apidae,Female,UCSB,only R wing,,
UCSB_IZC00065417_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00055340_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00055334_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00055375_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00065355_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00058799_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00058763_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00055797_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00065423_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00055798_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00055280_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00065343_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00055332_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00065396_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00062632_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00058744_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00065366_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00058757_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00055344_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00055766_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00055301_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00055764_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00058793_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00065459_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00065359_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00065392_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00055366_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00055278_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00055352_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00065386_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00058745_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00055377_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00055266_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00055370_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00055795_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00055287_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00058781_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00055794_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00065341_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00065380_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00055347_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00055791_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00055788_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00065397_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00055374_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00055310_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00055371_R,Ptilothrix bombiformis,Ptilothrix,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00035452_R,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00015039_R,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00014677_R,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00010896_R,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00012237_R,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00012219_R,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00012216_R,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00012184_R,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB,L wing torn,,
UCSB_IZC00014785_R,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00010301_R,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00012193_R,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00010315_R,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00010266_R,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00014978_R,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00014787_R,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00012213_R,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00014665_R,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00012240_R,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00012195_R,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00012225_R,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00012228_R,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00012232_R,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00065445_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00065424_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00058689_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00058758_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00058761_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00055299_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00055792_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00058738_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00058695_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00055359_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00065415_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00065428_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00062599_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00055311_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00059198_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00058687_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00059204_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00058681_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00058723_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00058739_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00055378_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00065453_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00058720_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00062590_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00055330_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00058788_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00055303_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00065406_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00055290_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00065433_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00062601_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00062606_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00058685_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00065458_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00058719_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00059174_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00065430_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00058731_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00058708_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
UCSB_IZC00065439_R,Xylocopa virginica,Xylocopa,Xylocopinae,Apidae,Female,UCSB,,,
