catalogNumber,Species,Genus,Subfamily,Family,Sex,Collection
UCSB_IZC00038891_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00026242_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UNKNOWN BEE #1_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00042371_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00042293_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00010881_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00037222_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00038548_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00010479_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00010413_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00044443_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00010508_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00036565_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00034449_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00010536_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00042882_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00009007_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00010554_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00010847_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00010507_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00036553_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00010556_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00010537_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00042399_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00042101_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00038669_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00038928_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00038685_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00042093_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00035618_L,Bombus californica,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00042970_L,Bombus californica,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00041667_L,Bombus californicus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00010460_L,Bombus californicus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00028371_L,Bombus californicus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00010431_L,Bombus californicus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00010425_L,Bombus californicus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00010546_L,Bombus californicus ,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00035407_L,Bombus californicus ,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00010906_L,Bombus californicus ,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00010478_L,Bombus californicus ,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00035557_L,Bombus melanopygus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00009100_L,Bombus melanopygus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00028362_L,Bombus melanopygus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00009120_L,Bombus melanopygus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00035505_L,Bombus melanopygus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00010290_L,Bombus melanopygus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00035189_L,Bombus melanopygus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00009072_L,Bombus sonorus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00009832_L,Bombus sonorus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00010472_L,Bombus sonorus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00010527_L,Bombus sonorus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00009816_L,Bombus sonorus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00010497_L,Bombus sonorus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00033071_L,Bombus terricola,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00033495_L,Bombus terricola,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00033143_L,Bombus vagans,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00033066_L,Bombus vagans,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00033507_L,Bombus vagans,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00010404_L,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00035682_L,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00009083_L,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00009801_L,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00040303_L,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00035185_L,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00040406_L,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00035403_L,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00006233_L,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00009080_L,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00009209_L,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00010523_L,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00035577_L,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00035453_L,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00035610_L,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00037197_L,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00035519_L,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00041336_L,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00006181_L,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00035538_L,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00042004_L,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00042313_L,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00035441_L,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00000964_L,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00010403_L,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00009089_L,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00009102_L,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00039622_L,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00035534_L,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00036776_L,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00035286_L,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00005855_L,Ceratina punctagena,Ceratina,Xylocopinae,Apidae,Female,UCSB
UCSB_IZC00039458_L,Diadasia australis,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00037255_L,Diadasia bituberculata,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00041916_L,Diadasia bituberculata,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00040929_L,Diadasia bituberculata,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00037347_L,Diadasia bituberculata,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00037492_L,Diadasia bituberculata,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00030264_L,Diadasia bituberculata,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00038762_L,Diadasia bituberculata,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00038796_L,Diadasia bituberculata,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00031299_L,Diadasia bituberculata,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00037171_L,Diadasia bituberculata,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00039393_L,Diadasia diminuta,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00028366_L,Diadasia diminuta,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00040450_L,Diadasia enavata,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00037047_L,Diadasia laticauda,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00008065_L,Diadasia nigrifrons,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00035494_L,Diadasia nitidifrons,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00042236_L,Diadasia ochracea,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00041663_L,Diadasia ochracea,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00042237_L,Diadasia ochracea,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00041662_L,Diadasia ochracea,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00041664_L,Diadasia ochracea,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00041668_L,Diadasia ochracea,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00037050_L,Diadasia ochracea,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00038642_L,Diadasia ochracea,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00039260_L,Diadasia ochracea,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00037041_L,Diadasia ochracea,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00039444_L,Diadasia rinconis,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00047190_L,Diadasia rinconis,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00046054_L,Diadasia rinconis,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00039736_L,Diadasia rinconis,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00037320_L,Diadasia rinconis,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00042912_L,Diadasia rinconis,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00040321_L,Diadasia rinconis,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00039575_L,Diadasia rinconis,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00039429_L,Diadasia rinconis,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00030337_L,Eucera actuosa,Eucera,Apinae,Apidae,Female,UCSB
UCSB_IZC00043584_L,Eucera actuosa,Eucera,Apinae,Apidae,Female,UCSB
UCSB_IZC00009829_L,Eucera actuosa,Eucera,Apinae,Apidae,Female,UCSB
UCSB_IZC00047217_L,Eucera actuosa,Eucera,Apinae,Apidae,Female,UCSB
UCSB_IZC00043471_L,Eucera actuosa,Eucera,Apinae,Apidae,Female,UCSB
UCSB_IZC00047281_L,Eucera actuosa,Eucera,Apinae,Apidae,Female,UCSB
UCSB_IZC00047330_L,Eucera actuosa,Eucera,Apinae,Apidae,Female,UCSB
UCSB_IZC00047396_L,Eucera actuosa,Eucera,Apinae,Apidae,Female,UCSB
UCSB_IZC00047293_L,Eucera actuosa,Eucera,Apinae,Apidae,Female,UCSB
UCSB_IZC00046915_L,Eucera actuosa,Eucera,Apinae,Apidae,Female,UCSB
UCSB_IZC00043205_L,Eucera actuosa,Eucera,Apinae,Apidae,Female,UCSB
UCSB_IZC00047317_L,Eucera actuosa,Eucera,Apinae,Apidae,Female,UCSB
UCSB_IZC00010268_L,Eucera edwardsii,Eucera,Apinae,Apidae,Female,UCSB
UCSB_IZC00009231_L,Eucera edwardsii,Eucera,Apinae,Apidae,Female,UCSB
UCSB_IZC00039565_L,Eucera frater albopilosa,Eucera,Apinae,Apidae,Female,UCSB
UCSB_IZC00040849_L,Eucera frater albopilosa,Eucera,Apinae,Apidae,Female,UCSB
UCSB_IZC00010287_L,Habropoda depressa,Habropoda,Apinae,Apidae,Female,UCSB
UCSB_IZC00041391_L,Habropoda depressa,Habropoda,Apinae,Apidae,Female,UCSB
UCSB_IZC00047053_L,Habropoda depressa,Habropoda,Apinae,Apidae,Female,UCSB
UCSB_IZC00033743_L,Habropoda depressa,Habropoda,Apinae,Apidae,Female,UCSB
UCSB_IZC00009790_L,Habropoda depressa,Habropoda,Apinae,Apidae,Female,UCSB
UCSB_IZC00009200_L,Habropoda depressa,Habropoda,Apinae,Apidae,Female,UCSB
UCSB_IZC00028354_L,Habropoda depressa,Habropoda,Apinae,Apidae,Female,UCSB
UCSB_IZC00014915_L,Habropoda depressa,Habropoda,Apinae,Apidae,Female,UCSB
UCSB_IZC00010408_L,Habropoda tristissima,Habropoda,Apinae,Apidae,Female,
UCSB_IZC00009181_L,Habropoda tristissima,Habropoda,Apinae,Apidae,Female,UCSB
UCSB_IZC00040311_L,Halictus farinosus,Halictus,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00046903_L,Halictus farinosus,Halictus,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00030348_L,Halictus farinosus,Halictus,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00030122_L,Halictus farinosus,Halictus,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00034799_L,Halictus farinosus,Halictus,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00042935_L,Halictus farinosus,Halictus,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00034847_L,Halictus farinosus,Halictus,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00047210_L,Halictus farinosus,Halictus,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00036773_L,Halictus farinosus,Halictus,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00040983_L,Halictus ligatus,Halictus,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00012013_L,Halictus rubicundus,Halictus,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00044274_L,Halictus rubicundus,Halictus,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00028160_L,Lasioglossum kincaidii,Lasioglossum,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00031221_L,Lasioglossum kincaidii,Lasioglossum,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00035540_L,Lasioglossum kincaidii,Lasioglossum,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00035525_L,Lasioglossum kincaidii,Lasioglossum,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00019703_L,Lasioglossum kincaidii,Lasioglossum,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00035476_L,Lasioglossum pacificum,Lasioglossum,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00037433_L,Lasioglossum titusi,Lasioglossum,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00028504_L,Megachile anograe,Megachile,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00040381_L,Megachile fidelis,Megachile,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00035449_L,Megachile onobrychidis,Megachile,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00028529_L,Megachile perihirta,Megachile,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00035274_L,Megachile rotundata,Megachile,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00010811_L,Megachile texans,Megachile,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00042277_L,Melissodes lustrus,Melissodes,Apinae,Apidae,Female,UCSB
UCSB_IZC00038577_L,Melissodes tepida timberlakei,Melissodes,Apinae,Apidae,Female,UCSB
UCSB_IZC00042343_L,Melissodes tepida timberlakei,Melissodes,Apinae,Apidae,Female,UCSB
UCSB_IZC00034459_L,Melissodes tepida timberlakei,Melissodes,Apinae,Apidae,Female,UCSB
UCSB_IZC00030378_L,Melissodes tepida timberlakei,Melissodes,Apinae,Apidae,Female,UCSB
UCSB_IZC00009986_L,Osmia aglaia,Osmia,Megachilinae,Megachilidae,Female,UCSB
EMEC939046_L,Osmia atrocyanea,Osmia,Megachilinae,Megachilidae,Female,EMEC
UCSB_IZC00014690_L,Osmia atrocyanea,Osmia,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00028380_L,Osmia brevis,Osmia,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00043780_L,Osmia californica,Osmia,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00034841_L,Osmia clarescens,Osmia,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00034755_L,Osmia clarescens ,Osmia,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00035027_L,Osmia clarescens ,Osmia,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00041383_L,Osmia clarescens ,Osmia,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00034387_L,Osmia coloradensis,Osmia,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00043402_L,Osmia coloradensis,Osmia,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00047052_L,Osmia coloradensis,Osmia,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00028506_L,Osmia coloradensis,Osmia,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00034496_L,Osmia coloradensis,Osmia,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00009975_L,Osmia laeta,Osmia,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00009991_L,Osmia laeta,Osmia,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00010010_L,Osmia laeta,Osmia,Megachilinae,Megachilidae,Female,UCSB
