catalogNumber,Species,Genus,Subfamily,Family,Sex,Collection
UCSB_IZC00012195_L,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB
UCSB_IZC00012225_L,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB
UCSB_IZC00012228_L,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB
UCSB_IZC00012232_L,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB
UCSB_IZC00041511_R,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00039879_R,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00042465_R,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00012454_R,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00041836_R,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00041462_R,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00036326_R,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00040844_R,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00041034_R,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00012323_R,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00036320_R,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00036078_R,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00043427_R,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00038830_R,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00036757_R,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00036766_R,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00037720_R,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00044054_R,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00044417_R,Andrena candida,Andrena,Andreninae,Andrenidae,Female,UCSB
UCSB_IZC00044742_R,Andrena candida,Andrena,Andreninae,Andrenidae,Female,UCSB
UCSB_IZC00047089_R,Andrena candida,Andrena,Andreninae,Andrenidae,Female,UCSB
UCSB_IZC00034409_R,Andrena oenotherae,Andrena,Andreninae,Andrenidae,Female,UCSB
