,catalogNumber,LM1x,LM2x,LM3x,LM4x,LM5x,LM6x,LM7x,LM8x,LM9x,LM1y,LM2y,LM3y,LM4y,LM5y,LM6y,LM7y,LM8y,LM9y,Species,Genus,Subfamily,Family,Sex,Collection
149,UCSB_IZC00016671_L,0.472726505,0.312952748,0.013587647,-0.160190622,-0.363839472,-0.449418168,-0.040391659,0.054971513,0.159601507,0.178469814,0.194151087,0.148475348,0.146574509,0.036270419,0.011010273,-0.155193691,-0.255368139,-0.30438962,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
150,UCSB_IZC00016671_R,0.471804621,0.308012803,0.011061777,-0.150500677,-0.364857903,-0.446017166,-0.041462971,0.0534473,0.158512214,0.184087709,0.193779547,0.15022603,0.153376876,0.032591121,0.011658472,-0.157559637,-0.257061317,-0.311098802,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
151,UCSB_IZC00019263_L,0.500339491,0.306116239,0.004755254,-0.173642242,-0.368190559,-0.420922908,-0.043101335,0.050844059,0.143802,0.208650357,0.186074544,0.140543009,0.132194448,0.02961461,0.029647575,-0.162675847,-0.251589226,-0.312459472,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
152,UCSB_IZC00019263_R,0.493515838,0.30069223,0.006581469,-0.180276211,-0.357271189,-0.431204964,-0.041269309,0.056809087,0.15242305,0.197944479,0.189613837,0.140094399,0.135443922,0.035680981,0.030773948,-0.161706611,-0.250981621,-0.316863336,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
153,UCSB_IZC00026242_L,0.479356336,0.291608016,0.005183518,-0.17106551,-0.361119337,-0.43438526,-0.034437716,0.065091631,0.159768322,0.19469529,0.185230645,0.143405789,0.150048814,0.040086067,0.031531234,-0.161849971,-0.265759535,-0.317388333,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
154,UCSB_IZC00026242_R,0.475749607,0.296255351,0.004078791,-0.161664686,-0.360232125,-0.446758409,-0.03472806,0.067268478,0.160031054,0.190640064,0.186030391,0.138502615,0.149558013,0.042976645,0.026631554,-0.15944021,-0.261450177,-0.313448896,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
155,UCSB_IZC00028354_L,0.453043733,0.391132358,-0.06414038,-0.206202904,-0.404744729,-0.444059091,0.045303956,0.07501948,0.154647578,0.097977185,0.223245549,0.101655431,0.121249067,0.023717969,0.035680829,-0.086340446,-0.237912077,-0.279273508,Habropoda depressa,Habropoda,Apinae,Apidae,Female,UCSB
156,UCSB_IZC00028354_R,0.451128095,0.384943458,-0.063804546,-0.200104527,-0.404678742,-0.449984451,0.047425182,0.075657115,0.159418415,0.092389588,0.227953155,0.101578371,0.119264822,0.023219197,0.040236488,-0.087334262,-0.236886197,-0.280421163,Habropoda depressa,Habropoda,Apinae,Apidae,Female,UCSB
157,UCSB_IZC00028371_L,0.450836934,0.374207036,-0.112595114,-0.197776206,-0.358858905,-0.429202169,0.016149955,0.077472387,0.179766082,0.122211045,0.227983406,0.100164109,0.131331149,0.038316937,0.06126355,-0.12264277,-0.25145973,-0.307167697,Bombus californicus,Bombus,Apinae,Apidae,Female,UCSB
158,UCSB_IZC00028371_R,0.448764166,0.378123267,-0.113679033,-0.203333836,-0.360039873,-0.423536301,0.013266136,0.081610515,0.178824959,0.124755338,0.22171867,0.101946711,0.137531708,0.03890824,0.05782393,-0.121502895,-0.253017947,-0.308163756,Bombus californicus,Bombus,Apinae,Apidae,Female,UCSB
159,UCSB_IZC00030122_L,0.397916686,0.3075744,-0.020681844,-0.110806913,-0.333762844,-0.49706285,0.011050198,0.081959143,0.163814024,0.104314183,0.249572553,0.174195441,0.204633398,0.023743979,0.010954288,-0.165401143,-0.287431001,-0.314581697,Halictus farinosus,Halictus,Halictinae,Halictidae,Female,UCSB
160,UCSB_IZC00030122_R,0.394138021,0.303106545,-0.022831318,-0.107514211,-0.337658648,-0.497426109,0.017003556,0.084745337,0.166436828,0.097889045,0.253497943,0.175280342,0.204390651,0.031772315,0.008213233,-0.16618582,-0.285639732,-0.319217975,Halictus farinosus,Halictus,Halictinae,Halictidae,Female,UCSB
161,UCSB_IZC00030264_L,0.447033535,0.338375506,-0.074374856,-0.190820422,-0.34387253,-0.473774553,0.040465785,0.092322951,0.164644584,0.126293825,0.209982758,0.10840394,0.137712577,0.045440698,0.052274625,-0.098254413,-0.277412521,-0.30444149,Diadasia bituberculata,Diadasia,Apinae,Apidae,Female,UCSB
162,UCSB_IZC00030264_R,0.446442618,0.340088398,-0.074853639,-0.190355742,-0.354747813,-0.463765813,0.042277967,0.093581317,0.161332707,0.128620176,0.205725366,0.112776492,0.140765347,0.044340223,0.049137464,-0.09691753,-0.279711158,-0.304736379,Diadasia bituberculata,Diadasia,Apinae,Apidae,Female,UCSB
163,UCSB_IZC00030337_L,0.44727907,0.273531497,-0.015905637,-0.157979301,-0.365942545,-0.453699641,0.03586672,0.083380163,0.153469674,0.150762873,0.213331712,0.138465505,0.165240699,0.021233598,0.049914111,-0.092483679,-0.287699294,-0.358765526,Eucera actuosa,Eucera,Apinae,Apidae,Female,UCSB
164,UCSB_IZC00030348_L,0.390240322,0.313936978,-0.024331491,-0.110594456,-0.342822351,-0.497355488,0.023826033,0.085291258,0.161809195,0.094380362,0.253444489,0.17211708,0.20445162,0.026601191,0.00657569,-0.15401167,-0.284114552,-0.319444209,Halictus farinosus,Halictus,Halictinae,Halictidae,Female,UCSB
165,UCSB_IZC00030348_R,0.386023497,0.307519774,-0.020344307,-0.115173998,-0.342700579,-0.49512295,0.02684379,0.085998184,0.166956588,0.089798233,0.254034187,0.178911736,0.209429112,0.02343691,0.010883056,-0.15663236,-0.288871056,-0.320989818,Halictus farinosus,Halictus,Halictinae,Halictidae,Female,UCSB
166,UCSB_IZC00030944_L,0.474024183,0.31010978,0.006476501,-0.167638537,-0.359837042,-0.443662237,-0.042437919,0.05576911,0.167196161,0.185687521,0.194439679,0.135206773,0.144558503,0.039545188,0.025684127,-0.16083383,-0.254560741,-0.309727219,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
167,UCSB_IZC00030944_R,0.479861209,0.306748949,0.008293377,-0.163623141,-0.36047101,-0.440482355,-0.047575894,0.053302005,0.16394686,0.195166086,0.191447308,0.132076847,0.146704609,0.0385468,0.024820144,-0.165377217,-0.2500362,-0.313348377,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
168,UCSB_IZC00031299_L,0.443922773,0.325960278,-0.075813488,-0.185770682,-0.345453326,-0.473303691,0.037200422,0.100148786,0.173108928,0.110191174,0.212487467,0.121627157,0.145321139,0.051208334,0.041353402,-0.086611526,-0.283145204,-0.312431942,Diadasia bituberculata,Diadasia,Apinae,Apidae,Female,UCSB
