Id	DryWeight_g_G	ITD_cm_G	ITD (cm) 4
UCSB_IZC00041336_L	NaN	NaN	NaN
UCSB_IZC00041336_R	NaN	NaN	NaN
UCSB_IZC00042004_L	NaN	NaN	NaN
UCSB_IZC00042004_R	NaN	NaN	NaN
UCSB_IZC00042313_L	NaN	NaN	NaN
UCSB_IZC00042313_R	NaN	NaN	NaN
UCSB_IZC00055289_L	0.046	0.117	0.117
UCSB_IZC00055354_R	0.046	0.134	NaN
UCSB_IZC00055752_L	0.047	0.139	0.139
UCSB_IZC00058743_R	0.048	0.155	NaN
UCSB_IZC00058762_L	0.047	0.116	0.116
UCSB_IZC00058762_R	0.047	0.116	NaN
UCSB_IZC00058791_L	0.05	0.131	0.131
UCSB_IZC00062637_L	0.069	0.153	0.153
UCSB_IZC00005855_L	NaN	NaN	NaN
UCSB_IZC00005855_R	NaN	NaN	NaN
UCSB_IZC00055264_L	0.046	0.12	0.12
UCSB_IZC00058691_R	0.045	0.114	NaN
UCSB_IZC00058709_L	0.047	0.127	0.127
UCSB_IZC00058718_R	0.045	0.118	NaN
UCSB_IZC00058722_L	0.044	0.107	0.107
UCSB_IZC00058764_L	0.044	0.104	0.104
UCSB_IZC00058790_L	0.046	0.122	0.122
UCSB_IZC00062589_R	0.043	0.087	NaN
UCSB_IZC00062594_L	0.037	0.121	0.121
UCSB_IZC00065370_R	0.045	0.128	NaN
UCSB_IZC00065404_R	0.045	0.117	NaN
UCSB_IZC00030264_L	NaN	NaN	NaN
UCSB_IZC00031299_L	NaN	NaN	NaN
UCSB_IZC00037171_L	NaN	NaN	NaN
UCSB_IZC00037255_L	NaN	NaN	0.314
UCSB_IZC00037347_L	NaN	NaN	0.338
UCSB_IZC00009829_L	NaN	NaN	0.28
UCSB_IZC00030337_L	NaN	NaN	0.262
UCSB_IZC00043205_L	NaN	NaN	NaN
UCSB_IZC00043471_L	NaN	NaN	NaN
UCSB_IZC00043584_L	NaN	NaN	0.288
UCSB_IZC00046915_L	NaN	NaN	NaN
UCSB_IZC00047217_L	NaN	NaN	0.279
UCSB_IZC00047281_L	NaN	NaN	NaN
UCSB_IZC00047293_L	NaN	NaN	NaN
UCSB_IZC00047317_L	NaN	NaN	NaN
UCSB_IZC00047330_L	NaN	NaN	NaN
UCSB_IZC00047396_L	NaN	NaN	NaN
UCSB_IZC00009200_R	NaN	NaN	NaN
UCSB_IZC00009790_L	NaN	NaN	NaN
UCSB_IZC00009790_R	NaN	NaN	NaN
UCSB_IZC00010287_L	NaN	NaN	0.388
UCSB_IZC00010287_R	NaN	NaN	NaN
UCSB_IZC00014915_L	NaN	NaN	NaN
UCSB_IZC00014915_R	NaN	NaN	NaN
UCSB_IZC00028354_L	NaN	NaN	NaN
UCSB_IZC00028354_R	NaN	NaN	NaN
UCSB_IZC00033743_L	NaN	NaN	0.381
UCSB_IZC00033743_R	NaN	NaN	NaN
UCSB_IZC00041391_L	NaN	NaN	0.388
UCSB_IZC00041391_R	NaN	NaN	NaN
UCSB_IZC00047053_L	NaN	NaN	NaN
UCSB_IZC00047053_R	NaN	NaN	NaN
UCSB_IZC00030122_L	NaN	NaN	0.222
UCSB_IZC00030122_R	NaN	NaN	NaN
UCSB_IZC00030348_L	NaN	NaN	0.228
UCSB_IZC00030348_R	NaN	NaN	NaN
UCSB_IZC00034799_L	NaN	NaN	0.229
UCSB_IZC00034799_R	NaN	NaN	NaN
UCSB_IZC00034847_L	NaN	NaN	NaN
UCSB_IZC00034847_R	NaN	NaN	NaN
UCSB_IZC00036773_L	NaN	NaN	NaN
UCSB_IZC00036773_R	NaN	NaN	NaN
UCSB_IZC00040311_L	NaN	NaN	NaN
UCSB_IZC00040311_R	NaN	NaN	NaN
UCSB_IZC00042935_L	NaN	NaN	NaN
UCSB_IZC00042935_R	NaN	NaN	NaN
UCSB_IZC00046903_L	NaN	NaN	0.243
UCSB_IZC00046903_R	NaN	NaN	NaN
UCSB_IZC00047210_L	NaN	NaN	NaN
UCSB_IZC00047210_R	NaN	NaN	NaN
LACM_ENT247827_L	NaN	NaN	0.167
LACM_ENT247827_R	NaN	NaN	NaN
LACM_ENT601903_R	NaN	NaN	0.163
LACM_ENT601925_L	NaN	NaN	0.167
LACM_ENT601925_R	NaN	NaN	NaN
LACM_ENT601968_L	NaN	NaN	0.153
LACM_ENT601968_R	NaN	NaN	NaN
LACM_ENT602211_R	NaN	NaN	0.167
LACM_ENT602232_L	NaN	NaN	NaN
LACM_ENT602232_R	NaN	NaN	NaN
LACM_ENT602292_L	NaN	NaN	NaN
LACM_ENT602292_R	NaN	NaN	NaN
LACM_ENT602319_L	NaN	NaN	NaN
LACM_ENT602319_R	NaN	NaN	NaN
