catalogNumber,DryWeight_g_G,ITD_cm_G
UCSB_IZC00055351_L,0.079,0.298
UCSB_IZC00055353_L,0.079,0.303
UCSB_IZC00055373_L,0.083,0.305
UCSB_IZC00055320_L,0.075,0.314
UCSB_IZC00065342_L,0.103,0.316
UCSB_IZC00055789_L,0.091,0.32
UCSB_IZC00065344_L,0.086,0.323
UCSB_IZC00055297_L,0.074,0.295
UCSB_IZC00055326_L,0.099,0.307
UCSB_IZC00055783_L,0.092,0.308
UCSB_IZC00065450_L,0.079,0.316
UCSB_IZC00055363_L,0.093,0.318
UCSB_IZC00055294_L,0.075,0.323
UCSB_IZC00065447_L,0.082,0.332
UCSB_IZC00058746_L,0.079,0.335
UCSB_IZC00055285_L,0.099,0.346
UCSB_IZC00055337_L,0.113,0.352
UCSB_IZC00065353_L,0.105,0.353
UCSB_IZC00065357_L,0.095,0.367
UCSB_IZC00065404_L,0.045,0.117
UCSB_IZC00055336_L,0.046,0.129
UCSB_IZC00058764_L,0.044,0.104
UCSB_IZC00065414_L,0.068,0.173
UCSB_IZC00055744_L,0.068,0.179
UCSB_IZC00065408_L,0.067,0.179
UCSB_IZC00059183_L,0.046,0.112
UCSB_IZC00063853_L,0.045,0.083
UCSB_IZC00058784_L,0.043,0.082
UCSB_IZC00059212_L,0.044,0.086
UCSB_IZC00058770_L,0.043,0.077
UCSB_IZC00059180_L,0.043,0.082
UCSB_IZC00055461_L,0.048,0.108
UCSB_IZC00055772_L,0.049,0.116
UCSB_IZC00055449_L,0.049,0.121
UCSB_IZC00058724_L,0.049,0.121
UCSB_IZC00059182_L,0.049,0.128
UCSB_IZC00055362_L,0.049,0.133
UCSB_IZC00065437_L,0.05,0.139
UCSB_IZC00062610_L,0.05,0.11
UCSB_IZC00055327_L,0.051,0.11
UCSB_IZC00062613_L,0.051,0.111
UCSB_IZC00055800_L,0.05,0.118
UCSB_IZC00055271_L,0.051,0.123
UCSB_IZC00055307_L,0.05,0.123
UCSB_IZC00065419_L,0.051,0.125
UCSB_IZC00065393_L,0.05,0.129
UCSB_IZC00055750_L,0.049,0.13
UCSB_IZC00062598_L,0.05,0.132
UCSB_IZC00062616_L,0.052,0.137
UCSB_IZC00065457_L,0.053,0.145
UCSB_IZC00062615_L,0.051,0.153
UCSB_IZC00055798_L,0.077,0.297
UCSB_IZC00065368_L,0.093,0.364
UCSB_IZC00058769_L,0.048,0.133
UCSB_IZC00055269_L,0.048,0.136
UCSB_IZC00055752_L,0.047,0.139
UCSB_IZC00058792_L,0.048,0.149
UCSB_IZC00058794_L,0.046,0.124
UCSB_IZC00065378_L,0.064,0.16
UCSB_IZC00065367_L,0.066,0.169
UCSB_IZC00065349_L,0.066,0.178
UCSB_IZC00058151_L,0.05,0.146
UCSB_IZC00056411_L,0.042,0.154
UCSB_IZC00055317_L,0.047,0.11
UCSB_IZC00058783_L,0.033,0.09
UCSB_IZC00062630_L,0.035,0.09
UCSB_IZC00058728_L,0.035,0.096
UCSB_IZC00058736_L,0.047,0.112
UCSB_IZC00055787_L,0.05,0.122
UCSB_IZC00062612_L,0.048,0.13
UCSB_IZC00062587_L,0.048,0.131
UCSB_IZC00065417_L,0.079,0.292
UCSB_IZC00058743_L,0.048,0.155
UCSB_IZC00065440_L,0.046,0.123
UCSB_IZC00055343_L,0.099,0.355
UCSB_IZC00058384_L,0.051,0.148
UCSB_IZC00058834_L,0.053,0.159
UCSB_IZC00058143_L,0.051,0.166
UCSB_IZC00058414_L,0.048,0.081
UCSB_IZC00063938_L,0.045,0.082
UCSB_IZC00058562_L,0.048,0.089
UCSB_IZC00058424_L,0.05,0.091
UCSB_IZC00059170_L,0.042,0.086
UCSB_IZC00063955_L,0.05,0.108
UCSB_IZC00059189_L,0.049,0.115
UCSB_IZC00059169_L,0.045,0.105
UCSB_IZC00059220_L,0.045,0.11
UCSB_IZC00059202_L,0.046,0.114
UCSB_IZC00058669_L,0.046,0.092
UCSB_IZC00065377_L,0.063,0.157
UCSB_IZC00055754_L,0.065,0.157
UCSB_IZC00055778_L,0.067,0.175
UCSB_IZC00058184_L,0.051,0.164
UCSB_IZC00058336_L,0.051,0.168
UCSB_IZC00058713_L,0.048,0.091
UCSB_IZC00063956_L,0.053,0.106
UCSB_IZC00063939_L,0.05,0.102
UCSB_IZC00059200_L,0.045,0.112
UCSB_IZC00058391_L,0.022,0.09
