catalogNumber,DryWeight_g_G,ITD_cm_G
UCSB_IZC00058721_R,0.043,0.084
UCSB_IZC00062627_R,0.05,0.122
UCSB_IZC00055295_R,0.095,0.303
UCSB_IZC00055770_R,0.115,0.324
UCSB_IZC00055379_R,0.119,0.327
UCSB_IZC00065385_R,0.098,0.328
UCSB_IZC00055276_R,0.107,0.335
UCSB_IZC00055356_R,0.107,0.335
UCSB_IZC00055759_R,0.115,0.342
UCSB_IZC00062628_R,0.09,0.343
UCSB_IZC00055279_R,0.119,0.353
UCSB_IZC00065363_R,0.103,0.353
UCSB_IZC00055745_R,0.13,0.354
UCSB_IZC00055749_R,0.133,0.358
UCSB_IZC00055743_R,0.124,0.359
UCSB_IZC00065376_R,0.141,0.359
UCSB_IZC00055758_R,0.129,0.363
UCSB_IZC00055796_R,0.124,0.363
UCSB_IZC00065394_R,0.113,0.366
UCSB_IZC00055349_R,0.124,0.368
UCSB_IZC00065435_R,0.143,0.37
UCSB_IZC00058776_R,0.128,0.378
UCSB_IZC00055780_R,0.124,0.39
UCSB_IZC00065391_R,0.158,0.396
UCSB_IZC00065372_R,0.151,0.402
UCSB_IZC00065350_R,0.135,0.411
UCSB_IZC00055322_R,0.148,0.423
UCSB_IZC00065406_R,0.178,0.489
UCSB_IZC00055290_R,0.212,0.523
UCSB_IZC00058687_R,0.223,0.523
UCSB_IZC00059174_R,0.306,0.528
UCSB_IZC00055792_R,0.208,0.531
UCSB_IZC00058719_R,0.236,0.532
UCSB_IZC00058788_R,0.25,0.537
UCSB_IZC00058695_R,0.246,0.537
UCSB_IZC00062601_R,0.239,0.539
UCSB_IZC00058689_R,0.213,0.539
UCSB_IZC00065458_R,0.215,0.547
UCSB_IZC00058685_R,0.323,0.548
UCSB_IZC00055378_R,0.278,0.554
UCSB_IZC00062599_R,0.221,0.555
UCSB_IZC00055311_R,0.27,0.558
UCSB_IZC00058723_R,0.238,0.559
UCSB_IZC00055303_R,0.246,0.559
UCSB_IZC00062606_R,0.33,0.559
UCSB_IZC00058738_R,0.269,0.562
UCSB_IZC00065445_R,0.324,0.571
UCSB_IZC00065453_R,0.314,0.572
UCSB_IZC00062590_R,0.285,0.575
UCSB_IZC00059198_R,0.332,0.576
UCSB_IZC00059204_R,0.234,0.576
UCSB_IZC00065433_R,0.248,0.577
UCSB_IZC00055299_R,0.261,0.581
UCSB_IZC00065415_R,0.233,0.581
UCSB_IZC00065428_R,0.25,0.582
UCSB_IZC00058681_R,0.233,0.587
UCSB_IZC00055330_R,0.252,0.588
UCSB_IZC00058720_R,0.244,0.597
UCSB_IZC00055359_R,0.233,0.598
UCSB_IZC00058758_R,0.24,0.604
UCSB_IZC00058739_R,0.345,0.614
UCSB_IZC00058761_R,0.286,0.629
UCSB_IZC00065424_R,0.258,0.644
UCSB_IZC00058731_R,0.218,0.495
UCSB_IZC00058708_R,0.375,0.542
UCSB_IZC00065430_R,0.305,0.545
UCSB_IZC00065439_R,0.385,0.548
UCSB_IZC00058198_R,0.039,0.13
UCSB_IZC00060190_R,0.048,0.123
